TrackName,ArtistName,PlaylistRanking,GlobalPopularity,Loudness,Tempo
Instinct (feat. MadeinTYO),Roy Woods,1,72,-7.132,84.04
Foldin Clothes,J. Cole,2,66,-10.045,162.039
Everybody,Logic,3,79,-5.968,110.003
Congratulations,Post Malone,4,90,-4.215,123.071
Ex Calling,6LACK,5,77,-7.545,156.018
Mask Off,Future,6,95,-8.795,150.062
Black Beatles,Rae Sremmurd,7,79,-6.235,145.931
Pray 4 Love,Travis Scott,8,63,-4.704,79.94
Loud,Mac Miller,9,62,-5.8,140.026
Unforgettable,French Montana,10,97,-5.043,97.985
You Was Right,Lil Uzi Vert,11,81,-7.417,81.987
iSpy (feat. Lil Yachty),Kyle,12,90,-6.745,75.016
No Heart,21 Savage,13,80,-8.692,140.063
I'm the One,DJ Khaled,14,98,-4.267,80.984
Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,15,77,-9.349,95.063
